11,"From the medical perspective, the term depression does not necessarily mean feeling “down and with drawn."" The symptoms may be fatigue, loss of appetite, sleeplessness, or headaches. You may have anxiety or a loss of interest in things you normally enjoy. These feelings do not mean that you are ""nuts"" or a weak person.
They may merely mean that you have a chemical imbalance in an area of your brain. They could also be related to excessive alcohol use.
Certain areas of your brain have automatic centers that function without conscious thought to control activities in your body including your heart rate, changes in the size of your pupils or blood vessels, breathing, and sleeping.
Normally when you experience an emotional event, these automatic centers create a specific spectrum of symptoms. For example, if someone frightens you, you may feel tightness in your throat, your muscles may become tense, and your heart rate may speed up. Other emotional challenges might trigger one of your automatic brain centers such that you hyperventilate (rapid, deep breathing), have difficulty sleeping, experience headaches and an irritable stomach, and have panic attacks.
If you have a chemical imbalance in one of these automatic centers in your brain, you may experience a variety of these symptoms, even though you have had no emotional experience to trigger them. For example, you may feel fatigued, as though you were exhausted all day, even though you had enough sleep the night before.
You may also feel anxious, with the organs of your body reflecting this anxiety, even though nothing has happened to make you anxious. Or you may feel depressed and be withdrawn, even though there appears to be no cause for you to feel this way.
Many effective medications can correct the chemical imbalance in these automatic centers of the brain so that you will not have these symptoms when there is no cause for them. Unfortunately many people do not seek medical treatment because they feel that it is a sign of weakness or that they are just crazy, while in reality they have a chemical imbalance. They may even be suicidal.
If you have any of these symptoms and have difficulty controlling them, seek medical evaluation and get there as soon as possible."
12,"Delirium is usually manifested by an altered state of consciousness, consisting of confusion, distractibility, disorientation, and disordered thinking and memory.
The person appears detached from his or her surroundings. As this condition progresses, there may be trembling and agitation, even hallucinations and a
complete loss of contact with reality."" Many ailments can damage the brain and cause delirium. They include cage of blood vessels going to the brain, swelling of the brain from high blood pressure, infection of the brain, abnormal chemical levels in the blood, poison, side effects of medication, and lack of oxygen.
When in a state of delirium, a person usually cannot son, and therefore getting them to medical care may be difficult. He or she may be uncooperative and even com- native. But this situation is urgent and requires immediate medical attention. Call for emergency assistance."
13,"As they age, senior citizens often develop abnormal personality changes, lose recent memory, and/or become senile. There is a rare cause of these mental changes that can sometimes be cured. Those with the disorder often appear to have difficulty walking or walk in a strange way. The leg muscles are working fine, but the brain does not remember how to use them. One does not have the ability to purposefully initiate a specific movement.
In other words the individual may not be able to remember how to walk. When he or she does walk, the pattern of walking seems quite awkward. The condition is often accompanied by urinary incontinence (inability to control the bladder).
The medical name of the condition causing these red light warning signals is normal pressure hydrocephalus.
It can result from a head injury, brain hemorrhage, or meningitis (an infection in the sac that surrounds the brain). It can also occur without any known cause. It usually appears in senior citizens, but it can occur in younger people.
The brain sits in a clear liquid that flows into the inner chambers of the brain. If something blocks the natural flow of this liquid, too much fluid may accumulate in these chambers. The pressure from the excess fluid damages areas of the brain, causing the symptoms.
The diagnosis can be made with special studies of the brain, including a CT scan or an MRI. If the chambers of the brain are enlarged, normal pressure hydrocephalus may be present.
The rare condition can sometimes be reversed with surgery. One end of a small tube is placed in an inner chamber in the brain. The tube is sewn in place down the neck through the body to the belly cavity, where the excess fluid can flow.
Family members of persons who are senile should discuss the possibility of this diagnosis (normal pressure hydrocephalus) and the pros and cons of medical testing for this ailment with a neurologist (brain specialist).
Also, the discussion should include evaluation of other potentially reversible causes of senility, including decreased thyroid function (hypothyroidism), increased parathyroid function (hyperparathyroidism), vitamin B12 deficiency, and side effects of medication."
14,"A sudden change in personality-including anxiety, apathy, confusion, or even psychosis-may be one of the body's red light warning signals of a treatable chemical or physical abnormality in the body including the brain. It is important to seek medical evaluation in order to treat the underlying illness. In many cases medical treatment can reverse the personality disorder."
15,"An eyelid that does not move normally, pupils that are unequal in size, and/or seeing double may indicate that the nerve controlling these functions is not transmitting impulses normally (see Figure 2). Any abnormality, in the brain or surrounding structures, that puts pressure on this nerve can cause these signs. A blood vessel that is ball looking out (aneurysm) at a specific location could press on this nerve. These signs may be an early red light warnig signal for emergency medical evaluation and brain surgery to contain the blood vessel before it bursts.
"
16,"Do people ask, ""Why don't you open your eyes all the way, you look like you're sleepy. Do your jaws get so tired at times w at times when you are caring that you cannot take another bite? If you have droopy eyelids, weary jaws, difficulty swallowing or general weakness, you may have a potentially serious nerve disorder called as theniagravis.
With myastheniagravis there is a blockage of a chemical necessary for sending messages through your nerve to certain muscles in your body. Only a weakened nerve signal gets to the muscle. Weakened muscles make it hard to chew and cause your eyelids to droop. Other muscles including breathing muscles may become weak.
If this ailment is not treated, it could be fatal since you could stop breathing. Effective medications can control this disease. If you experience these red light warning signals, see your doctor as soon as possible."
17,"When you look straight ahead, usually you can see objects on your right and left side. These are your peripheral visual fields. The loss of a portion of your peripheral visual field is a red light warning signal.
This loss causes your vision to be similar to that of a horse wearing blinders.
A simple test to detect this abnormality is to put your right hand over your right eye and put your left hand behind your left ear. While looking straight ahead, move your left hand slowly so that it is reaching out in front of your face. You should be able to detect this movement of the corner of your left eye even though you are looking straight ahead. Do the same while looking through your right eye. If neither eye picks up your normal peripheral vision, you may have a visual field defect.
Causes of this syndrome include a stroke due to block age of a blood vessel in the brain, an injury to the retina of the eye, glaucoma, bleeding in the brain, or a tumor in the area of the brain responsible for vision. A tumor of the pituitary gland, located on the underside of the brain, can also cause these symptoms. If the tumor gets large enough, it can press on the nerves from the eyes and cause the visual field loss. Also, the tumor can produce high levels of hormones that may cause a milky white discharge from the nipples and stop or alter menstrual periods. The growth can be controlled medically or surgically.
If you experience a sudden narrowing of vision, you should go to an emergency room. In all cases, you need evaluation by an ophthalmologist."
18,"If it seems as though your vision is clouded by a descending gray curtain- or a blue, haze, mist, or fog- usually for about one to five minutes, it could mean several things. One of the blood vessels leading from your heart into your neck or some of those supplying your brain could be partially blocked. When this happens, the blood vessel to the nerve to the eye or the part of the brain responsible for vision is not getting enough blood.
You need to be taken to an emergency room immediately. Emergency treatment may prevent a stroke. If your sight does not return and you see an ophthalmologist (eye doctor) within ninety minutes, he or she may be able to treat you and save your vision."
19,"People with this condition are at high risk of having a major stroke. If you suddenly lose part of your vision for a short period of time, this is a red light warning signal that you need urgent evaluation by your doctor.
Sudden eyesight loss is a sign of a blocked blood vessel supplying a nerve to an eye or part of the brain responsible for sight. Emergency treatment to prevent a stroke is necessary. Often a blood thinner is given or surgery is instituted to clean out a blocked artery.
If total vision does not return and you see an ophthalmologist (eye doctor) within ninety minutes, he or she may be able to treat you and save your sight."
20,"Hearing loss due to aging is a common, gradual process, many times it is hardly noticed until someone else points it out. Another common source of hearing loss-noise exposure-is also gradual and occurs l both ears. In addition hearing loss is often inherited.
But what about the gradual hearing loss in one ear that be accompanied by a feeling that the room is spinning around and/or a ringing in the ear? A rare but serious illness that can cause this is a tumor of or near the hearing nerve. Urgent medical evaluation is indicated. Other more common causes of hearing loss and this type of dizziness include an inflammation of the hearing apparatus in the ear. Often no cause can be found, although there may be effective treatments."
21,"Hearing the sound of your heart beating inside your head usually in association with episodic headaches could mean that you have a blood vessel malformation that can cause a stroke.
It is common to hear your heart beat in your ear when you lie down and place your ear against a pillow. But if you note the onset of pulsating noise similar to a beating heart on one side of your head, and if it is constantly present no matter what your body position, it is abnormal. It could indicate a problem with your ear. It could also be an indication of a blood vessel abnormality inside your head or neck, especially if in association with episodic throbbing headaches on one side of your head.
Veins carry blood to the heart, while arteries carry blood away from the heart. The rare type of blood vessel abnormality most likely to produce these heart beating sounds is called a dural arteriovenous malformation. This abnormality, often present at birth, is caused by a direct connection of an artery to a vein that significantly increases blood pressure in the veins. As time passes, these malformations may get bigger and begin producing the heartbeat sound with such intensity that it can be heard in the ear closest to the malformation. If you hear the sound of your heart beating in your head, especially with episodic headaches, seek medical evaluation by an ear specialist (otolaryngologist). A blood vessel malformation may need to be repaired so it will not rupture and cause a brain hemorrhage. A more common cause of these symptoms is rapid flow of blood in veins around the ear, which also needs evaluation, but is not as serious."
22,"It is possible, though improbable, to bleed to death from a nosebleed. Nosebleeds are especially dangerous if you are taking a blood thinner such as Coumadin.
The majority of nosebleeds originate from just inside the nostril on the wall that separates the nostrils, called the septum. Lightly packing the nose with gauze or cot ton (with material protruding from the nostrils), some times soaked in Afrin or Neosynephrine, can usually control this bleeding. (Make certain there are no contraindications for you to use these medicines by checking the patient package insert.) In addition, external compression such as pinching the soft part of the nose for a full five minutes with the head bent forward and applying an ice pack can help stop the bleeding. These steps will control the majority of nosebleeds. Do not blow your nose for at least six hours after treatment! If you still have a nosebleed after you've tried all these methods, seek medical attention immediately.
Some bleeding sites, deep in the catacombs of the nasal passage, are difficult to access and control. When injured, the major blood vessels located there are more susceptible to severe bleeding. Typically the blood will stream to the back of your throat, requiring constant swallowing. This problem poses a challenge even to the ear-nose-throat specialist. Seek medical help immediately before you lose too much blood.
Nosebleeds are more severe in people with high blood pressure. Most result from a crack or ulcer on the nasal passage, often from dry air, chronic allergic congestion, or a growth called a polyp. If you have a disease or take a drug that impairs blood clotting, including aspirin, or if you routinely drink too much alcohol, you are at particular risk of severe blood loss from a nosebleed."
23,"You have heard of the Bermuda Triangle and its dangers, but you may not have heard of the dangerous triangle."" The body has one, and it has perils as well. The apex or tip of the triangle is at the forehead between the eyebrows. The angles of the triangle are at the corners of
This triangle differs from other areas of the face and head in one very important way: Blood brought to this area by arteries will return to the heart through veins that travel inside the skull rather than through vessels that remain outside the skull.
Why is this important? Germs, which have gained entrance to the circulation in this location, have a direct route to the brain and other structures inside the skull.
Infections in the brain can quickly spread to vital centers responsible for normal life functions, and therefore they can be fatal.
An infected bump or boil, or any infection on the upper lip, or inside or outside the nose, holds a greater threat of serious complications than many infections elsewhere on the face or head. Signs of infection are tenderness, warmth, swelling, and redness. When they occur, see your doctor as soon as possible. Due to the seriousness of infection in this locale, you should not delay seeking treatment by using home remedies, except for the most mild surface sores. Picking or squeezing the infected area can spread the infection."
24,"Diabetes is a condition that results when sugar in your blood is abnormally high, usually because of low levels of insulin, a hormone that is produced in the pancreas. The earliest signs of diabetes include frequent urination and unquenchable thirst. Insulin drives sugar from the blood into cells in your body so they can get nourishment. Diabetes can also be caused by the body not responding to insulin. In untreated diabetes the body no longer burns sugar as its normal source of energy; rather, it burns fat. When fat is burned, it produces acid compounds as by-products, causing the blood to become acidic. Some of the acid is eliminated through the lungs, producing a characteristic fruity-smelling breath. When the acid by-products build up and the blood sugar rises, you may experience extreme thirst, shortness of breath, and/or abdominal pain. Without treatment, coma and death may fol low.
The person with diabetes rarely detects the strange smelling breath odor, so it is important that he or she be informed when this appears. He or she needs emergency medical evaluation. Most people have not smelled this odor before, but it is readily identified as an unusual smell. Unfortunately the smell is sometimes mistaken for alcohol, and the person is misdiagnosed as being drunk because acid in the blood can also make one act in a drunken manner."
25,"Early signs of arsenic poisoning can be a garlic odor on the breath and a metallic taste on the tongue. Later symptoms of arsenic poisoning are vomiting and a burning, upset stomach. You may also experience tingling and burning in your arms and legs as well as other problems from damage to your nerves. Certain medications (like Biaxin), however, can also give you an abnormal taste.
Arsenic poisoning has been known to occur in incidents of mail-order poisoning. No doubt you've also heard of food supplements or medications being intentionally laced with arsenic and distributed. An early sign of poisoning may be a metallic taste. Call your local poison control center for additional information and advice on appropriate evaluation and treatment."
26,"A sore inside the mouth, on the tongue, or in the throat that does not heal within three weeks is considered to be cancer until proven otherwise. A white spot led leukoplakia, which can be found in the same locations, is potentially precancerous. An ear-nose- throat specialist or a dental surgeon is the best specialist to evaluate this problem. Make an appointment as soon as possible.
Leukoplakia, caused by irritants in the mouth, can be the result of abrasive contact of the mouth's lining with the rough edge of a tooth or denture, but more commonly it occurs from the use of tobacco. Pouching snuff in the mouth and chewing tobacco are very irritating to surface cells in the mouth, which react and lead to the formation of leukoplakia. If this overgrowth continues, it can evolve into cancer, which can spread to other parts of the body.
Another cause of white spots in the mouth is yeast infections. Yeast infections in the mouths of babies are common because they have a youthful immune system.
Yeast infections occur in the mouths of some adults taking antibiotics or steroids. They can also appear as a result of an abnormally weak immune system caused by diseases such as AIDS. If it continues, this symptom warrants a visit to the doctor."
28,"Early signs of cancer can appear as a blue or black spot in the mouth. There are other more common causes as well, including stains from silver fillings and normal pigmentation. A dentist or doctor, oral surgeon, or ear-nose-throat physician can determine the cause of the discoloration."
29,"Epiglottitis is an infection of the epiglottis (the flap over the windpipe that stops food from getting into the lungs when you swallow). When infected, the epiglottis swells, blocking the airway.
Epiglottitis is often associated with a severe sore throat, which may be followed by gasping with a seal like"" sound.
An important warning sign of a potential life threatening case of epiglottitis is the presence of depressed areas at the neck base, just above the breast bone, and in the spaces between the ribs. If these areas are noticeably sucked in when you inhale, negative pres sure in the chest cavity is potentially being created by a significant blockage of the airway.
If you are experiencing noisy breathing or are struggling to inhale, you may be having difficulty getting air in the lungs. Call for an ambulance (911 in many locations). You need emergency care. (See Tip 199 for information on epiglottitis in babies and children.)"
30,"Your voice is generated by the vibrations of your vocal cords, which are located in the area of the throat called the larynx (a structure in the upper part of the breathing tube). Changes in vocal cords can cause hoarseness. Think of it like a guitar string—the thicker the string, the lower the pitch. The more swollen the vocal cord, the lower the pitch, until it becomes a whisper.
The most common causes of hoarseness are irritation of the vocal cords from infection and swelling of the vocal cords from excessive voice use. These conditions usually go away after a few days. Allergies can also con tribute to hoarseness; thus the pattern of hoarseness may come and go with the seasons.
Persistent hoarseness (lasting more than three weeks) may be a tip-off to throat cancer, which causes thicken ing of a vocal cord that does not go away. This occurs more commonly in smokers and in people with reflux of acid from the stomach. A cure is possible with early diagnosis and treatment. Hoarseness can also result from fluid entering the lung when liquids you drink go up your nose when you swallow. This condition may be indicative of a nerve or muscle disorder, or a stroke, or a tumor."
31,"Difficulty swallowing is a common problem. Most of the time it occurs when eating bulky foods like meat or corn bread. You swallow, and it sticks at a narrowed site of the esophagus (the swallowing tube from mouth to stomach) before finally going down. You feel the food getting stuck in a region underneath the lower area of the breastbone.
Narrowing of the esophagus most often occurs in the lower esophagus. It is often the result of a ring of scar tissue that has formed due to stomach acid refluxing (backing up) into the lower esophagus, irritating and scarring it. As the scarring increases, the constriction or narrowing of the esophagus increases, and more foods get stuck when you swallow. It can progress to the point of complete blockage; relieving the obstruction will require emergency treatment.
A major reason to evaluate this problem early, long before complete blockage occurs, is to prevent the development of cancer of the esophagus, which can arise from a longstanding irritation of the esophagus. A gastroenterologist (doctor expert in the stomach and colon) can insert a special tube with a small video camera into your mouth and down the esophagus. By obtaining a small piece of the esophagus (biopsy), he or she can make a diagnosis to determine whether a long standing irritation or cancer is present."
32,"Did you know that a sore throat can close off your air way and cause you to strangle? Three major kinds of infection can endanger the airway: a pus pocket around the tonsils (peritonsillar abscess); an infection in the floor of the mouth, spreading throughout the jaw and around the teeth (Ludwig's angina); and an infection of the epiglottis (the flap over your windpipe that keeps food from entering). You can prevent these infections by seeking treatment for a sore throat before it worsens.
Since sore throats are so common, how will you know when you may be in danger? Usually you get a sore throat, and in a few days you are well. Sometimes you receive antibiotics from a doctor, and your sore throat improves. But occasionally the germs dig deeper into the tissues of the throat and set up an abscess (pus pocket) that can bulge into your airway, narrowing it.
Usually the pain will become worse and the fever higher, which means you need further medical treatment.
If you get a sore throat, make sure it gets better over a forty-eight-hour period. Never let it go longer before seeking medical attention. Be aware that a sore throat after a dental procedure is dangerous since it can spread faster. If you experience hardness or swelling in the floor of your mouth and around the base of your tongue, if you have difficulty opening your mouth, or if you notice drooling of saliva from your mouth, it is an emergency. These more serious throat infections are often much worse on one side of your throat. When you open your mouth and look in the mirror, if the dangling thing hanging in the back of your throat (uvula) does not point down but shifts to one side, go to your doctor or to the emergency room.
Occasionally a sore throat that does not respond to treatment after a number of weeks is caused by a tumor located deep in the throat. These tumors can be seen only when the doctor uses a special small mirror to look in your mouth."
33,"Scarlet fever is caused by a rare type of the same germ that gives you a strep throat. The germ releases a toxic substance into the bloodstream, which causes a red rash, as well as heart and kidney disease. Your skin may peel off as though you have been sunburned.
Antibiotic therapy is needed as soon as possible to avoid these life-threatening complications."
34,"Rheumatic fever is a complication of strep throat. It usually occurs two to three weeks after having strep throat. It can cause the joints in your body to become swollen and painful. Fever and swelling are reactions of the body to infection by the germ streptococcus.
Rheumatic fever can also affect the heart, causing the heart muscle to become inflamed. It can permanently damage the heart valves.
Rheumatic fever is most common in children over four years old, but it can also occur in adults. Adequate treatment of the initial sore throat is the secret to the prevention of rheumatic fever. If your doctor prescribes a course of antibiotics, make sure you take all of the medicine.
Other complications of a strep infection are acute glomerulonephritis (inflammation of the kidneys) and scarletina (scarlet fever-see Tip 33), the appearance of a scarlet rash (a generalized red rash)."
35,"The thyroid gland is located in the front base of the neck. If you detect an enlargement or lump in your thy roid gland, make an appointment with your doctor as soon as possible for testing and treatment. Goiter means that your thyroid gland is larger than normal. The three basic kinds of enlargement are:
• A general enlargement of the entire gland, often caused by a disorder of the immune system. It can also be caused by a deficiency of iodine (which is rare).
• A lumpy enlargement of the entire gland, which is usually harmless; occasionally cancer is found in part of the gland.
A single lump in the gland, which may be cancerous.
Thyroid cancer can often be cured with treatment."
36,"The most serious neck lumps are not associated with thyroid disease (in the front base of the neck). These other lumps are often new, and are found only on one side of your neck. These lumps are often indicative of a lymph node that has been enlarged because of an infection tion. If the lump is located in the front of your neck, it probably resulted from a throat infection. If the lump is in the back of the neck, it is usually the result of a scalp or ear infection.
These enlarged lymph nodes are often less than an inch thick, and they shrink within fourteen days after the infection has been treated. They have a rubbery, semisoft feel and are tender to the touch.
Lumps in the neck that are present longer than four teen days, are over one inch in size, are firm or hard in texture, and/or are not tender are more suspicious of cancer of the lymph nodes or cancer that has spread from another site.
These are the general guidelines for examining lymph nodes, but there are exceptions. Seek advice from your doctor if any such lump persists."
37,"Lumps in the armpit are common. Most are tender sweat glands that have been clogged with deodorants, especially those containing ""drying agents."" If these glands get infected, they may form large pus pockets and require drainage. Usually lumps from clogged sweat glands can be distinguished from other lumps because you cannot move them separately from the skin with your fingers. A lump that is deep under the skin is usu ally a lymph node, and when feeling it, you can move the skin separately from the lump.
Enlarged lymph nodes in the armpit are often due to infections in the arm or hand. The most serious cause of an enlarged lymph node is cancer that has spread to that node.
Early medical evaluation of the cause of a lump in the armpit is important, especially because it could be a red light warning signal of treatable cancer. For example, the lump may indicate breast cancer."
